param,value,eval_wait,pct_vs_baseline,pct_vs_webster,is_default
GAMMA,0.9,1045965.0,-102.18,-695.63,False
GAMMA,0.95,323354.0,37.5,-145.97,False
GAMMA,0.99,472088.0,8.75,-259.1,True
LR,0.001,303047.0,41.42,-130.52,False
LR,0.0001,504653.0,2.45,-283.87,False
LR,1e-05,666523.0,-28.83,-407.0,True
CLIP_EPS,0.05,565337.0,-9.27,-330.04,False
CLIP_EPS,0.1,369091.0,28.66,-180.76,True
CLIP_EPS,0.2,301577.0,41.71,-129.4,False
PPO_EPOCHS,2,333613.0,35.52,-153.77,False
PPO_EPOCHS,4,383779.0,25.82,-191.93,True
PPO_EPOCHS,8,308904.0,40.29,-134.97,False
ENTROPY_COEF,0.001,513217.0,0.8,-290.39,False
ENTROPY_COEF,0.01,492557.0,4.79,-274.67,True
ENTROPY_COEF,0.05,346850.0,32.96,-163.84,False
VALUE_COEF,0.25,398295.0,23.01,-202.97,False
VALUE_COEF,0.5,342722.0,33.75,-160.7,True
VALUE_COEF,1.0,431262.0,16.64,-228.05,False
